6,175,72.943,4.8314,1.2435,3.6034,0.30784,7.5383,2.2556,5.0631,0.97201,0,3395,0,175,175,40,-16.479,9.4495,6.6678,3.2287,3.8926,3.2837,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,175,69.553,7.9021,1.8886,6.0256,0.40214,4.9914,1.5645,3.3796,0.86258,12,3813.2,22,175,172,43.6,15.38,12.065,-4.0907,2.1684,2.6617,2.391,3.056
10,175,76.486,5.1549,1.7158,3.8548,0.3091,7.8628,2.8654,5.1057,1.0893,0,4231.8,0,175,175,38.8,-15.483,11.946,64.6,2.1261,3.0385,2.3709,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,175,73.709,7.772,1.8949,6.0224,0.38558,5.4148,2.0401,3.4534,0.94244,2,3214.4,5,175,174,56.2,15.474,13.443,-24.285,1.5463,2.2314,1.8352,0.90975
15,134,66.281,4.3404,1.1279,3.2702,0.32708,7.5799,2.8001,4.7869,1.3148,0,2421.8,0,134,134,49.8,-29.794,13.799,-85.479,4.2338,5.6731,4.5027,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,134,61.819,7.8365,1.7315,6.0723,0.4066,4.5197,1.6215,2.8242,0.85212,0,2115.2,0,134,134,44.2,28.725,15.292,-9.3206,2.3227,2.9083,2.5708,NaN
73,158,64.21,4.2808,1.1587,3.2137,0.29051,7.9221,2.7079,5.0567,1.3497,0,3239.8,0,158,158,35.4,-17.468,14.731,42.626,3.117,4.933,3.7453,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,158,60.924,7.7425,1.6855,6.0784,0.43298,4.598,2.2588,2.76,0.80337,0,2749.4,0,157.8,158,43.4,16.495,15.155,-3.4483,1.4926,3.5908,2.7378,NaN
80,175,80.628,5.2773,1.2982,3.9574,0.35712,7.563,2.3207,5.0072,0.94588,0,3810.2,0,175,175,43,-24.691,11.714,51.558,2.9747,3.3904,2.7318,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,175,75.489,7.7402,1.7286,5.926,0.48232,5.4335,1.8687,3.5192,1.2023,31,3338.8,33,175,170,42,25.033,18.067,-7.4794,1.9575,3.1393,2.6078,2.007
155,130,80.622,5.1177,1.5054,3.8778,0.33467,7.6464,2.9946,4.5533,1.402,15,2379.2,22,130,127,38.8,-18.473,20.271,17.706,4.3542,8.142,6.0787,13.281,0,NaN,NaN,0,0,0,0,0,0,0,0,130,72.858,7.9294,2.1654,6.0575,0.44835,5.5734,2.4226,3.374,1.2646,46,2259,40,129.8,125,40,18.515,26.059,-0.10049,2.3341,9.7969,7.234,16.319
156,120,68.24,4.3798,1.0442,3.3085,0.28775,7.3793,2.418,4.6695,1.5475,9,1872.6,10,120,118,27.8,-15.767,16.603,11.195,3.9774,7.1327,5.5349,5.6523,0,NaN,NaN,0,0,0,0,0,0,0,0,120,61.779,7.9095,1.9777,6.0481,0.46214,4.5464,1.6898,2.8156,0.84499,2,1769.4,5,120,119,41,15.053,16.65,-0.82281,2.3194,4.5358,3.6501,3.4915
163,75,66.285,4.4406,1.1547,3.3174,0.27807,7.8813,2.7188,5.0357,1.0468,3,934.4,6,75,74,25.2,-8.5252,12.773,-14.841,3.3345,3.7912,3.3656,2.2694,0,NaN,NaN,0,0,0,0,0,0,0,0,75,62.521,7.8116,1.7023,6.0901,0.31358,4.5393,1.333,3.0873,0.44401,0,747.6,0,74.2,75,34,9.0807,11.791,1.2816,1.5714,2.746,2.1555,NaN
165,115,63.773,4.1076,1.037,3.1845,0.27034,7.5082,2.8411,4.4938,1.5302,2,1990.2,5,115,114,35.8,-24.956,17.48,56.914,6.0932,8.9386,6.3628,11.979,0,NaN,NaN,0,0,0,0,0,0,0,0,115,56.379,7.9082,1.9528,6.0182,0.40622,4.1638,1.8465,2.4188,1.152,34,1634.4,30,115,110,33.8,25.996,23.535,-1.9013,2.4459,4.4071,3.6501,3.8149
262,115,58.619,3.8222,0.94639,2.9017,0.2908,7.5948,2.5631,4.836,1.4479,15,1888.6,23,115,112,31,-2.9944,16.62,5.3901,5.0681,8.6312,6.481,7.2761,0,NaN,NaN,0,0,0,0,0,0,0,0,115,51.181,7.8044,1.7856,5.983,0.58758,3.5772,1.2198,2.303,0.81539,3,1843.6,6,114.8,114,31,2.9484,18.114,-0.27367,2.1797,4.1243,3.2877,2.5804
82,105,91.822,4.7544,2.8978,3.2079,0.61487,6.9599,3.8903,3.4908,1.5879,120,1907,57,105,92,26.6,-28.327,33.524,2.929,7.674,11.944,8.7606,10.249,3,23.094,10.874,0,0,0,0,0,0,0,0,105,77.101,8.0581,2.691,5.9387,0.4788,7.3399,6.3038,3.2524,2.3882,266,1376.2,85,105,84,43.4,39.123,49.885,0.032137,3.1109,20.073,14.214,15.787
84,115,61.457,3.9137,1.2828,2.9665,0.2841,7.5519,3.694,4.5635,1.3674,3,1680.4,6,114.8,114,31.8,-21.174,18.36,24.227,4.2047,10.016,6.3343,3.4327,3,21.575,5.5002,0,0,0,0,0,0,0,0,115,53.901,7.8257,1.8469,5.9189,0.47024,4.4873,3.437,2.6111,1.9117,204,1393.6,75,115,99,38.4,22.264,33.336,0.63709,2.1487,6.5692,3.051,13.771
94,210,88.418,5.6065,3.6837,3.6909,0.92733,8.0682,4.652,4.3511,1.5935,38,4840.6,41,209.6,203,41.6,-24.617,21.897,26.77,3.731,10.848,6.293,11.256,16,27.052,4.3903,196,203,14,-16.116,47.828,16,-25.038,28.853,210,80.327,8.0073,1.8821,6.0598,0.45653,6.9429,4.166,3.7995,1.7609,543,4568.8,112,210,184,44,27.618,31.38,0.025808,2.6944,12.601,5.5512,23.786
161,97,66.391,4.2811,2.6236,2.7979,0.44556,8.9553,7.7834,3.5197,1.6803,246,1436.8,69,97,78,40.2,-6.9312,48.992,16.445,4.6551,19.76,11.361,15.803,10,41.418,7.2644,79,78,10,39.662,68.896,10,-38.157,26.978,97,53.918,8.2231,2.8808,5.9493,0.65926,5.6658,4.4187,2.5939,1.5599,351,1464.2,83,97,73,29.2,24.331,54.551,0.65899,2.2773,11.773,7.2009,16.05
162,157,60.834,3.6433,1.6953,2.5935,0.28968,8.0308,4.9766,3.9803,1.9608,362,3895,109,156.6,129,39.2,-17.272,37.604,26.373,6.8441,17.532,11.73,12.983,11,32.834,6.4985,129,123,11,-8.104,24.098,11,-14.615,43.224,157,49.842,7.9224,2.263,5.908,0.58804,3.8942,2.8416,1.7813,0.99513,203,2848.8,103,157,136,47.4,14.29,38.311,-0.36162,2.0899,12.065,8.1468,10.976
4,135,84.099,5.2711,4.0223,3.1092,0.58939,10.064,9.0297,3.6647,2.1408,892,3389.6,118,134.8,99,33.8,-4.4415,50.265,-0.27788,9.5237,16.387,11.914,13.412,22,28.602,7.9892,99,76,22,-16.191,41.988,15,-6.6061,64.669,135,67.84,8.0617,2.3053,6.0803,0.54021,8.3237,7.3948,2.9647,2.411,533,2465.8,132,134.8,94,50.2,1.8564,56.105,0.21045,3.1618,16.184,10.196,13.829
54,116,93.554,5.4627,4.7142,3.0685,0.35811,9.9124,9.3355,3.6214,1.5438,336,2458.8,83,115.8,96,33.8,-26.87,48.721,22.743,5.0081,10.323,7.0237,8.2514,7,28.869,6.311,94,95,7,-53.98,41.245,7,-28.99,73.087,116,81.308,7.6439,1.6208,6.0366,0.46572,9.4554,10.477,3.3624,2.7624,153,1309.4,62,115.8,103,52.2,33.155,52.415,-0.20705,1.7687,16.383,8.1817,22.686
55,130,97.649,5.5664,6.2078,3.1881,0.67587,11.316,9.6983,3.989,2.2765,1309,4483.6,130,130,74,36,-40.37,58.461,33.505,4.7279,25.425,15.743,17.612,24,44.602,10.304,71,88,24,-29.283,26.813,24,23.562,70.09,130,63.469,8.2102,2.17,6.0907,0.49374,7.4755,6.9599,2.8919,2.4825,888,1895.8,126,130,77,48.2,36.677,60.302,-0.024147,1.9189,19.68,12.018,16.405
56,165,72.45,4.5991,2.763,3.2077,0.3702,9.9803,7.9159,4.7096,3.1998,542,4300.8,131,164.8,131,34,-12.588,40.808,19.246,3.8758,19.3,12.645,16.201,34,33.099,6.9112,122,129,29,-16.78,38.22,34,-3.9977,27.266,165,57.286,7.9536,2.2505,6.0556,0.45093,6.3621,5.3986,3.0203,1.8045,691,3622.6,138,165,125,33.6,11.863,45.401,0.12071,1.7107,17.737,8.195,21.846
58,167,89.908,5.384,4.4881,3.1886,0.34474,10.382,10.724,4.1284,2.1989,580,4241.8,131,166.8,147,42.2,-14.369,57.874,26.399,3.6763,12.428,7.852,13.23,18,33.419,11.482,141,147,18,34.577,69.224,18,-18.021,12.853,167,77.187,7.8293,1.6556,6.0853,0.45773,7.6555,9.3774,3.2191,2.5742,580,2327.4,128,167,129,59.6,29.287,61.1,0.15411,1.6322,16.112,4.4521,21.627
