6,152,73.496,5.8184,3.2974,0.24342,0.014175,0.95283,16.335,8.3991,-3.4766,2.1447,2.7362,3.3526,3.4975,0,NaN,NaN,0,0,0,0,0,0,0,0,152,69.015,5.6616,2.4593,0.73913,1.3529,0,16.938,8.9272,15.714,3.1467,3.98,2.4194,4.8879
10,145,76.238,6.191,3.5385,0.13103,0.0099551,0.9469,16.254,10.621,-23.115,1.599,2.282,2.35,2.8734,0,NaN,NaN,0,0,0,0,0,0,0,0,145,73.402,6.2231,3.0447,0.7,1.4286,0,16.76,11.376,-22.88,2.061,3.0678,1.8839,0.84768
15,114,66.341,4.9548,2.2045,0.14035,0.009077,0.96173,29.836,12.864,-10.307,2.3649,2.8739,4.54,5.2927,0,NaN,NaN,0,0,0,0,0,0,0,0,114,60.357,4.9325,1.983,0.61538,1.625,0,29.956,14.695,7.4179,4.1937,5.7546,2.5775,2.7282
73,136,64.501,5.0094,2.9487,0.073638,0.0064199,0.97955,19.075,11.945,-4.1353,1.4764,3.2332,3.7379,3.3813,1,25.114,0,0,0,0,0,0,0,0,0,136,60.236,5.1248,2.8703,0.51724,1.9333,0,19.303,12.779,40.381,3.0875,4.8889,2.421,1.8178
80,145,80.752,6.3043,3.608,0.29655,0.014825,0.96161,24.762,11.006,-6.6433,1.9633,3.2965,2.7014,3.8645,0,NaN,NaN,0,0,0,0,0,0,0,0,145,75.431,6.4874,2.9883,1.3778,0.72581,0,26.134,15.065,-41.56,3.073,3.4352,2.6667,2.1145
155,108,79.833,6.3176,4.6386,0.44444,0.024453,0.91094,21.303,16.483,-0.13991,2.3867,9.9056,5.7521,11.209,0,NaN,NaN,0,0,0,0,0,0,0,0,108,72.577,6.5615,4.0161,1.2273,0.81481,0,21.959,22.891,16.534,4.417,7.9328,7.2918,13.531
156,98,68.31,5.136,2.4222,0.29592,0.020394,0.95549,16.982,11.766,-0.48782,2.2641,4.6344,5.4259,5.2028,1,14.108,0,0,0,0,0,0,0,0,0,98,60.4,5.1979,2.1629,0.73913,1.3529,0,18.867,14.487,11.923,3.9468,7.037,3.5507,6.6456
163,65,66.233,5.2264,2.5319,0.24615,0.023305,0.94737,10.455,8.6276,1.8261,1.5759,2.6577,3.2559,3.6945,0,NaN,NaN,0,0,0,0,0,0,0,0,65,61.581,5.0984,2.1658,0.45455,2.2,0,10.646,8.6071,-18.741,3.3514,3.5949,2.0982,2.0013
165,95,62.552,4.8464,2.5327,0.32632,0.01909,0.90291,24.925,13.929,-0.76508,2.4009,4.4072,6.4777,7.3495,0,NaN,NaN,0,0,0,0,0,0,0,0,95,54.842,4.6119,2.2749,0.9,1.1111,0,26.98,17.936,-32.033,5.8867,8.7006,3.5804,3.6429
262,98,58.14,4.2995,1.4718,0.2551,0.030283,0.89583,10.597,11.549,-2.0165,2.1224,4.2885,6.4449,6.8964,0,NaN,NaN,0,0,0,0,0,0,0,0,98,49.601,4.0584,1.706,0.71429,1.4,0,10.836,12.989,5.6237,5.1721,8.5336,3.3542,4.5554
82,91,91.943,5.9882,5.9303,1.2088,0.021332,0.86063,33.117,26.237,-0.088962,3.1295,19.546,8.4176,12.258,2,19.886,15.136,0,0,0,0,0,0,0,0,91,77.808,8.0885,7.3478,3.1646,0.316,0,48.401,39.888,0.64393,7.4675,11.727,12.208,20.307
84,100,59.145,4.4545,2.6882,0.35,0.022605,0.94595,23.953,13.928,0.12403,2.2275,4.4857,6.4186,6.1751,2,26.777,0.69928,0,0,0,0,0,0,0,0,100,52.576,4.6322,2.5546,1.9474,0.51351,0,26.738,20.418,24.938,4.3217,10.095,2.7226,9.3346
94,175,87.115,6.7737,5.5824,0.37143,0.01373,0.95177,26.819,16.684,-0.18263,2.6686,12.52,6.0777,9.2417,9,26.103,3.4949,0.91158,0.95177,0.55556,40.79,33.169,1,26.843,22.138,175,80.009,7.8414,5.2755,3.9391,0.25386,0,31.549,26.145,27.126,3.7693,10.341,5.1908,23.345
161,85,65.388,5.2419,4.8078,3.9059,0.05141,0.61864,34.94,39.709,0.78499,2.2886,10.948,12.156,13.258,9,38.479,10.184,0.59746,0.66102,1,46.556,42.955,0.66667,51.307,24.319,85,54.285,6.1943,5.575,4.1538,0.24074,0,41.186,43.678,16.643,4.6307,19.486,7.5229,11.073
162,135,60.837,4.2676,3.0651,2.037,0.036004,0.7593,27.738,27.269,-0.47845,2.146,12.438,11.624,12.781,10,30.494,6.1896,0.7593,0.71554,1,20.353,26.054,0.7,41.507,42.038,135,50.314,4.4969,3.3364,2.587,0.38655,0,30.166,32.236,25.676,6.4747,17.36,9.1263,8.3703
4,115,85.654,6.4539,6.0883,6.5043,0.03841,0.58656,35.533,35.977,0.37814,3.0421,15.935,12.107,13.627,27,28.678,8.1134,0.63824,0.5478,0.59259,34.681,34.054,0.55556,50.989,37.11,115,65.367,9.1552,8.9914,4.8584,0.20583,0,43.206,40.739,-1.804,9.8235,16.351,9.8657,14.123
54,97,93.065,7.3312,7.9953,4.9072,0.042619,0.68354,46.323,33.885,-0.079307,1.7695,15.082,6.4506,11.627,5,34.429,5.3159,0.68354,0.68354,1,91.53,8.5377e-07,1,151.93,0,97,78.488,9.9935,10.872,1.9589,0.51049,0,51.623,40.713,21.991,5.2103,10.882,8.2807,18.537
55,115,96.216,6.9166,9.1492,10.583,0.029781,0.47028,58.983,41.855,-0.036721,1.9065,19.302,14.889,18.851,21,46.134,12.282,0.40568,0.47028,1,41.695,19.986,1,71.5,51.449,115,61.545,7.8506,7.5644,6.7027,0.14919,0,60.003,43.597,33.796,4.7026,25.327,10.798,16.724
56,143,71.42,5.7712,6.4799,2.993,0.034201,0.7166,29.242,33.829,0.18619,1.7073,17.62,12.692,15.041,28,31.402,6.1342,0.63563,0.65587,0.46429,29.265,26.965,0.42857,31.919,27.339,143,57.233,7.5321,7.5266,5.0565,0.19777,0,29.989,38.988,18.631,3.7955,18.943,8.8633,20.029
58,145,88.441,6.9623,8.4927,4.5241,0.033811,0.79439,51.081,44.427,0.27988,1.6512,15.927,8.2296,13.327,18,33.209,12.27,0.71028,0.75701,1,65.464,45.227,1,20.347,11.185,145,66.553,7.8911,8.5852,4.5547,0.21955,0,54.532,49.242,26.137,3.6186,12.877,9.0427,17.845
